0,Thu Nov 20 10:15:57 2014,7.826,24.7,
1,Thu Nov 20 10:15:58 2014,7.825,24.7,
2,Thu Nov 20 10:15:59 2014,7.822,24.7,
3,Thu Nov 20 10:16:01 2014,7.82,24.7,
4,Thu Nov 20 10:16:02 2014,7.818,24.7,
5,Thu Nov 20 10:16:03 2014,7.816,24.7,
6,Thu Nov 20 10:16:05 2014,7.815,24.7,
7,Thu Nov 20 10:16:06 2014,7.813,24.7,
8,Thu Nov 20 10:16:07 2014,7.811,24.7,
9,Thu Nov 20 10:16:08 2014,7.81,24.7,
10,Thu Nov 20 10:16:10 2014,7.808,24.7,
11,Thu Nov 20 10:16:11 2014,7.807,24.7,
12,Thu Nov 20 10:16:12 2014,7.805,24.7,
13,Thu Nov 20 10:16:14 2014,7.803,24.7,
14,Thu Nov 20 10:16:15 2014,7.802,24.7,
15,Thu Nov 20 10:16:16 2014,7.8,24.7,
16,Thu Nov 20 10:16:17 2014,7.799,24.7,
17,Thu Nov 20 10:16:19 2014,7.797,24.7,
18,Thu Nov 20 10:16:20 2014,7.796,24.7,
19,Thu Nov 20 10:16:21 2014,7.795,24.7,
20,Thu Nov 20 10:16:23 2014,7.793,24.7,
21,Thu Nov 20 10:16:24 2014,7.792,24.7,
22,Thu Nov 20 10:16:25 2014,7.791,24.7,
23,Thu Nov 20 10:16:27 2014,7.789,24.7,
24,Thu Nov 20 10:16:28 2014,7.788,24.7,
25,Thu Nov 20 10:16:29 2014,7.786,24.7,
26,Thu Nov 20 10:16:30 2014,7.785,24.7,
27,Thu Nov 20 10:16:32 2014,7.784,24.7,
28,Thu Nov 20 10:16:33 2014,7.782,24.7,
29,Thu Nov 20 10:16:34 2014,7.781,24.7,
30,Thu Nov 20 10:16:36 2014,7.78,24.7,
31,Thu Nov 20 10:16:37 2014,7.779,24.7,
32,Thu Nov 20 10:16:38 2014,7.777,24.7,
33,Thu Nov 20 10:16:40 2014,7.776,24.7,
34,Thu Nov 20 10:16:41 2014,7.775,24.7,
35,Thu Nov 20 10:16:42 2014,7.774,24.7,
36,Thu Nov 20 10:16:43 2014,7.772,24.7,
37,Thu Nov 20 10:16:45 2014,7.771,24.7,
38,Thu Nov 20 10:16:46 2014,7.77,24.7,
39,Thu Nov 20 10:16:47 2014,7.769,24.7,
40,Thu Nov 20 10:16:49 2014,7.768,24.7,
41,Thu Nov 20 10:16:50 2014,7.766,24.7,
42,Thu Nov 20 10:16:51 2014,7.765,24.7,
43,Thu Nov 20 10:16:52 2014,7.764,24.7,
44,Thu Nov 20 10:16:54 2014,7.763,24.7,
45,Thu Nov 20 10:16:55 2014,7.762,24.7,
46,Thu Nov 20 10:16:56 2014,7.76,24.7,
47,Thu Nov 20 10:16:58 2014,7.759,24.7,
48,Thu Nov 20 10:16:59 2014,7.758,24.7,
49,Thu Nov 20 10:17:00 2014,7.757,24.7,
50,Thu Nov 20 10:17:02 2014,7.756,24.7,
51,Thu Nov 20 10:17:03 2014,7.755,24.7,
52,Thu Nov 20 10:17:04 2014,7.754,24.7,
53,Thu Nov 20 10:17:05 2014,7.753,24.7,
54,Thu Nov 20 10:17:07 2014,7.752,24.7,
55,Thu Nov 20 10:17:08 2014,7.751,24.7,
56,Thu Nov 20 10:17:09 2014,7.749,24.7,
57,Thu Nov 20 10:17:11 2014,7.748,24.7,
58,Thu Nov 20 10:17:12 2014,7.747,24.7,
59,Thu Nov 20 10:17:13 2014,7.746,24.7,
60,Thu Nov 20 10:17:14 2014,7.745,24.7,
61,Thu Nov 20 10:17:16 2014,7.744,24.7,
62,Thu Nov 20 10:17:17 2014,7.743,24.7,
63,Thu Nov 20 10:17:18 2014,7.742,24.7,
64,Thu Nov 20 10:17:20 2014,7.741,24.7,
65,Thu Nov 20 10:17:21 2014,7.74,24.7,
66,Thu Nov 20 10:17:22 2014,7.739,24.7,
67,Thu Nov 20 10:17:24 2014,7.738,24.7,
68,Thu Nov 20 10:17:25 2014,7.737,24.7,
69,Thu Nov 20 10:17:26 2014,7.736,24.7,
70,Thu Nov 20 10:17:27 2014,7.735,24.7,
71,Thu Nov 20 10:17:29 2014,7.734,24.7,
72,Thu Nov 20 10:17:30 2014,7.733,24.7,
73,Thu Nov 20 10:17:31 2014,7.732,24.7,
74,Thu Nov 20 10:17:33 2014,7.731,24.7,
75,Thu Nov 20 10:17:34 2014,7.731,24.7,
76,Thu Nov 20 10:17:35 2014,7.729,24.7,
77,Thu Nov 20 10:17:36 2014,7.728,24.7,
78,Thu Nov 20 10:17:38 2014,7.727,24.7,
79,Thu Nov 20 10:17:39 2014,7.726,24.7,
80,Thu Nov 20 10:17:40 2014,7.726,24.7,
81,Thu Nov 20 10:17:42 2014,7.725,24.7,
82,Thu Nov 20 10:17:43 2014,7.724,24.7,
83,Thu Nov 20 10:17:44 2014,7.723,24.7,
84,Thu Nov 20 10:17:45 2014,7.722,24.7,
85,Thu Nov 20 10:17:47 2014,7.721,24.7,
86,Thu Nov 20 10:17:48 2014,7.72,24.7,
87,Thu Nov 20 10:17:49 2014,7.719,24.7,
88,Thu Nov 20 10:17:51 2014,7.719,24.7,
89,Thu Nov 20 10:17:52 2014,7.717,24.7,
90,Thu Nov 20 10:17:53 2014,7.716,24.7,
91,Thu Nov 20 10:17:55 2014,7.715,24.7,
92,Thu Nov 20 10:17:56 2014,7.714,24.7,
93,Thu Nov 20 10:17:57 2014,7.714,24.7,
94,Thu Nov 20 10:17:58 2014,7.712,24.7,
95,Thu Nov 20 10:18:00 2014,7.712,24.7,
96,Thu Nov 20 10:18:01 2014,7.711,24.7,
97,Thu Nov 20 10:18:02 2014,7.71,24.7,
98,Thu Nov 20 10:18:04 2014,7.709,24.7,
99,Thu Nov 20 10:18:05 2014,7.708,24.7,
100,Thu Nov 20 10:18:06 2014,7.707,24.7,
101,Thu Nov 20 10:18:07 2014,7.707,24.7,
102,Thu Nov 20 10:18:09 2014,7.706,24.7,
103,Thu Nov 20 10:18:10 2014,7.705,24.7,
104,Thu Nov 20 10:18:11 2014,7.704,24.7,
105,Thu Nov 20 10:18:13 2014,7.703,24.7,
106,Thu Nov 20 10:18:14 2014,7.703,24.7,
107,Thu Nov 20 10:18:15 2014,7.702,24.7,
108,Thu Nov 20 10:18:16 2014,7.701,24.7,
109,Thu Nov 20 10:18:18 2014,7.7,24.7,
110,Thu Nov 20 10:18:19 2014,7.699,24.7,
111,Thu Nov 20 10:18:20 2014,7.698,24.7,
112,Thu Nov 20 10:18:21 2014,7.698,24.7,
113,Thu Nov 20 10:18:23 2014,7.697,24.7,
114,Thu Nov 20 10:18:24 2014,7.696,24.7,
115,Thu Nov 20 10:18:25 2014,7.695,24.7,
116,Thu Nov 20 10:18:27 2014,7.694,24.7,
117,Thu Nov 20 10:18:28 2014,7.693,24.7,
118,Thu Nov 20 10:18:29 2014,7.693,24.7,
119,Thu Nov 20 10:18:31 2014,7.692,24.7,
120,Thu Nov 20 10:18:32 2014,7.691,24.7,
121,Thu Nov 20 10:18:33 2014,7.69,24.7,
122,Thu Nov 20 10:18:34 2014,7.689,24.7,
123,Thu Nov 20 10:18:36 2014,7.689,24.7,
124,Thu Nov 20 10:18:37 2014,7.688,24.7,
125,Thu Nov 20 10:18:38 2014,7.687,24.7,
126,Thu Nov 20 10:18:40 2014,7.686,24.7,
127,Thu Nov 20 10:18:41 2014,7.686,24.7,
128,Thu Nov 20 10:18:42 2014,7.685,24.7,
129,Thu Nov 20 10:18:43 2014,7.684,24.7,
130,Thu Nov 20 10:18:45 2014,7.683,24.7,
131,Thu Nov 20 10:18:46 2014,7.683,24.7,
132,Thu Nov 20 10:18:47 2014,7.682,24.7,
133,Thu Nov 20 10:18:49 2014,7.681,24.7,
134,Thu Nov 20 10:18:50 2014,7.68,24.7,
135,Thu Nov 20 10:18:51 2014,7.679,24.7,
136,Thu Nov 20 10:18:53 2014,7.679,24.7,
137,Thu Nov 20 10:18:54 2014,7.678,24.7,
138,Thu Nov 20 10:18:55 2014,7.677,24.7,
139,Thu Nov 20 10:18:57 2014,7.676,24.7,
140,Thu Nov 20 10:18:58 2014,7.675,24.7,
141,Thu Nov 20 10:18:59 2014,7.674,24.7,
142,Thu Nov 20 10:19:00 2014,7.673,24.7,
143,Thu Nov 20 10:19:02 2014,7.672,24.7,
144,Thu Nov 20 10:19:03 2014,7.672,24.7,
145,Thu Nov 20 10:19:04 2014,7.671,24.7,
146,Thu Nov 20 10:19:06 2014,7.67,24.7,
147,Thu Nov 20 10:19:07 2014,7.669,24.7,
148,Thu Nov 20 10:19:08 2014,7.669,24.7,
149,Thu Nov 20 10:19:09 2014,7.668,24.7,
150,Thu Nov 20 10:19:11 2014,7.667,24.7,
151,Thu Nov 20 10:19:12 2014,7.667,24.7,
152,Thu Nov 20 10:19:13 2014,7.665,24.7,
153,Thu Nov 20 10:19:15 2014,7.665,24.7,
154,Thu Nov 20 10:19:16 2014,7.665,24.7,
155,Thu Nov 20 10:19:17 2014,7.664,24.7,
156,Thu Nov 20 10:19:18 2014,7.663,24.7,
157,Thu Nov 20 10:19:20 2014,7.662,24.7,
158,Thu Nov 20 10:19:21 2014,7.662,24.7,
159,Thu Nov 20 10:19:22 2014,7.661,24.6,
160,Thu Nov 20 10:19:24 2014,7.66,24.6,
161,Thu Nov 20 10:19:25 2014,7.659,24.6,
162,Thu Nov 20 10:19:26 2014,7.659,24.6,
163,Thu Nov 20 10:19:27 2014,7.658,24.6,
164,Thu Nov 20 10:19:29 2014,7.658,24.6,
165,Thu Nov 20 10:19:30 2014,7.656,24.6,
166,Thu Nov 20 10:19:31 2014,7.656,24.6,
167,Thu Nov 20 10:19:33 2014,7.655,24.6,
168,Thu Nov 20 10:19:34 2014,7.654,24.6,
169,Thu Nov 20 10:19:35 2014,7.654,24.6,
170,Thu Nov 20 10:19:37 2014,7.653,24.6,
171,Thu Nov 20 10:19:38 2014,7.652,24.6,
172,Thu Nov 20 10:19:39 2014,7.652,24.6,
173,Thu Nov 20 10:19:40 2014,7.651,24.6,
174,Thu Nov 20 10:19:42 2014,7.651,24.6,
175,Thu Nov 20 10:19:43 2014,7.65,24.6,
176,Thu Nov 20 10:19:44 2014,7.649,24.6,
177,Thu Nov 20 10:19:46 2014,7.649,24.6,
178,Thu Nov 20 10:19:47 2014,7.648,24.6,
179,Thu Nov 20 10:19:48 2014,7.647,24.6,
180,Thu Nov 20 10:19:50 2014,7.647,24.6,
181,Thu Nov 20 10:19:51 2014,7.646,24.6,
182,Thu Nov 20 10:19:52 2014,7.646,24.6,
183,Thu Nov 20 10:19:53 2014,7.645,24.6,
184,Thu Nov 20 10:19:55 2014,7.644,24.6,
185,Thu Nov 20 10:19:56 2014,7.643,24.6,
186,Thu Nov 20 10:19:57 2014,7.643,24.6,
187,Thu Nov 20 10:19:58 2014,7.642,24.6,
188,Thu Nov 20 10:20:00 2014,7.641,24.6,
189,Thu Nov 20 10:20:01 2014,7.641,24.6,
190,Thu Nov 20 10:20:02 2014,7.64,24.6,
191,Thu Nov 20 10:20:04 2014,7.64,24.6,
192,Thu Nov 20 10:20:05 2014,7.639,24.6,
193,Thu Nov 20 10:20:06 2014,7.638,24.6,
194,Thu Nov 20 10:20:08 2014,7.638,24.6,
195,Thu Nov 20 10:20:09 2014,7.637,24.6,
196,Thu Nov 20 10:20:10 2014,7.636,24.6,
197,Thu Nov 20 10:20:11 2014,7.636,24.6,
198,Thu Nov 20 10:20:13 2014,7.635,24.6,
199,Thu Nov 20 10:20:14 2014,7.635,24.6,
