Origin,Destination,Carrier,Shipping Date,Delivery Date,
China,Portugal,Yanwen,2019-07-24,2019-08-07,
China,Portugal,Yanwen,2019-07-02,2019-08-06,
China,Portugal,Yanwen,2019-07-16,2019-08-06,
China,Portugal,Yanwen,2019-07-04,2019-08-06,
China,Portugal,Yanwen,2019-07-26,2019-08-09,
Spain,Portugal,GLS,2019-08-06,2019-08-08,
China,Portugal,Yanwen,2019-07-30,2019-08-13,
China,Portugal,China Post,2019-08-01,2019-08-13,
China,Portugal,China Post,2019-08-01,2019-08-12,
China,Portugal,China Post,2019-07-31,2019-08-12,
China,Portugal,Yanwen,2019-07-29,2019-08-12,
China,Portugal,Yanwen,2019-07-30,2019-08-14,
China,Portugal,China Post,2019-07-31,2019-08-14,
China,Portugal,Yanwen,2019-07-31,2019-08-20,
China,Portugal,China Post,2019-08-01,2019-08-20,
China,Portugal,China Post,2019-08-04,2019-08-20,
China,Portugal,4PX,2019-07-30,2019-08-22,
China,Portugal,Cainiao,2019-08-01,2019-09-09,
China,Portugal,Cainiao,2019-07-31,2019-09-09,
USA,Portugal,Pitney Bowes,2019-09-04,2019-09-12,
China,Portugal,Cainiao,2019-08-02,2019-09-25,
China,Portugal,China Post,2019-09-16,2019-09-30,
China,Portugal,China Post,2019-09-12,2019-09-30,

